recordeddate,q1_satisfaction,q2_environment,q3_facilities,q4_staff,q5_value,q6_clubs,q7_importance,q8_convenience,q9_location,q10_online,q11_recommend
"Recorded Date","Overall satisfaction with the service","Satisfaction with the environment","Satisfaction with the facilities","Satisfaction with the staff","Satisfaction with the value for money","Participation in clubs or organizations","Importance of service quality","Importance of convenience","Importance of location","Preference for online courses","Likelihood to recommend the service"
2019-08-05,agree,agree,agree,agree,agree,yes,agree,agree,agree,yes,agree
2019-08-10,neutral,neutral,neutral,neutral,neutral,yes,neutral,neutral,neutral,yes,neutral
2019-08-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,yes,strongly agree,strongly agree,strongly agree,yes,strongly agree
2019-08-20,disagree,disagree,disagree,disagree,disagree,yes,disagree,disagree,disagree,yes,disagree
2019-08-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,yes,strongly disagree,strongly disagree,strongly disagree,yes,strongly disagree
2019-09-05,agree,agree,agree,agree,agree,no,agree,agree,agree,no,agree
2019-09-10,neutral,neutral,neutral,neutral,neutral,no,neutral,neutral,neutral,no,neutral
2019-09-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,no,strongly agree,strongly agree,strongly agree,no,strongly agree
2019-09-20,disagree,disagree,disagree,disagree,disagree,no,disagree,disagree,disagree,no,disagree
2019-09-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree
2020-08-05,agree,agree,agree,agree,agree,yes,agree,agree,agree,yes,agree
2020-08-10,neutral,neutral,neutral,neutral,neutral,yes,neutral,neutral,neutral,yes,neutral
2020-08-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,yes,strongly agree,strongly agree,strongly agree,yes,strongly agree
2020-08-20,disagree,disagree,disagree,disagree,disagree,yes,disagree,disagree,disagree,yes,disagree
2020-08-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,yes,strongly disagree,strongly disagree,strongly disagree,yes,strongly disagree
2020-09-05,agree,agree,agree,agree,agree,no,agree,agree,agree,no,agree
2020-09-10,neutral,neutral,neutral,neutral,neutral,no,neutral,neutral,neutral,no,neutral
2020-09-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,no,strongly agree,strongly agree,strongly agree,no,strongly agree
2020-09-20,disagree,disagree,disagree,disagree,disagree,no,disagree,disagree,disagree,no,disagree
2020-09-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree
2021-08-05,agree,agree,agree,agree,agree,yes,agree,agree,agree,yes,agree
2021-08-10,neutral,neutral,neutral,neutral,neutral,yes,neutral,neutral,neutral,yes,neutral
2021-08-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,yes,strongly agree,strongly agree,strongly agree,yes,strongly agree
2021-08-20,disagree,disagree,disagree,disagree,disagree,yes,disagree,disagree,disagree,yes,disagree
2021-08-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,yes,strongly disagree,strongly disagree,strongly disagree,yes,strongly disagree
2022-08-05,agree,agree,agree,agree,agree,no,agree,agree,agree,no,agree
2022-08-10,neutral,neutral,neutral,neutral,neutral,no,neutral,neutral,neutral,no,neutral
2022-08-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,no,strongly agree,strongly agree,strongly agree,no,strongly agree
2022-08-20,disagree,disagree,disagree,disagree,disagree,no,disagree,disagree,disagree,no,disagree
2022-08-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree
2023-08-05,agree,agree,agree,agree,agree,no,agree,agree,agree,no,agree
2023-08-10,neutral,neutral,neutral,neutral,neutral,no,neutral,neutral,neutral,no,neutral
2023-08-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,no,strongly agree,strongly agree,strongly agree,no,strongly agree
2023-08-20,disagree,disagree,disagree,disagree,disagree,no,disagree,disagree,disagree,no,disagree
2023-08-25,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree,strongly disagree,strongly disagree,no,strongly disagree
2022-08-05,agree,agree,agree,agree,agree,yes,agree,agree,agree,yes,agree
2022-08-10,neutral,neutral,neutral,neutral,neutral,yes,neutral,neutral,neutral,yes,neutral
2022-08-15,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,yes,strongly agree,strongly agree,strongly agree,yes,strongly agree